User,Username,Date Created,Likes,Tweet,source_file
Penelope Everpetal Apologist,_Galaco_,2025-06-29 04:04:20+00:00,1,ALL I’M SAYING IS with global warming….now would be the perfect time for another version of The Blob,tweets_content.csv
Kiều Tân Long,KiuTnLong185647,2025-06-29 04:00:36+00:00,0,"The international agreement on climate change set ambitious targets, promoting global cooperation towards sustainability and environmental protection.",tweets_content.csv
athena,taxfreebakery,2025-06-29 03:58:46+00:00,0,"You published that self serving book stalked me for years had my family evicted ostracized harassed &amp; now generations of LGB kids from strict religious ethnic families will suffer generations of backlash, if they even get to live that long. You don't believe in climate change.",tweets_content.csv
moon,sylusgon,2025-06-29 03:54:39+00:00,10,winter outfit in july... linkon climate change is something else,tweets_content.csv
Mirino,Morphobia,2025-06-29 03:47:27+00:00,0,"The truth that humanity is responsable for ‘climate change’ is only limited to the allegation. There’s no proof that it’s factual. It’s bandied about as if there’s no doubt about it because it’s a scare-mongering, money spinner.
Climate evolution is natural. 
CO2 level : 0.04%",tweets_content.csv
Saad,AirlinePilotmax,2025-06-29 03:46:31+00:00,7,"Pakistan is among the most vulnerable countries to climate change despite contributing less than 1% to global greenhouse gas emissions. Its geographical location, reliance on agriculture, and limited adaptive capacity exacerbate the impacts of shifting climate patterns.

Extreme",tweets_content.csv
Bhushan Malik,LifeisKing0,2025-06-29 03:45:26+00:00,0,"Govt plans to regulate AC temp to fight climate change 🌍
But why not cap vehicle speed at 70 km/h to save thousands of lives lost to overspeeding every year?
Climate control is vital — so is Life control.#RoadSafety #SaveLives #PolicyChange
@MORTHIndia @PMOIndia @Nit",tweets_content.csv
Phạm Tuấn Vũ,PhmTunV0266973,2025-06-29 03:35:58+00:00,0,"The environmental reporter investigated climate change, describing the potential threats, and shared solutions to save the planet''s resources.",tweets_content.csv
athena,taxfreebakery,2025-06-29 03:32:23+00:00,0,How many of us could have solved climate change but didn't because the oil industry took our health told the world we were drug addicts and didn't heal our health predicaments because of discrimination prejudice and racism? That to me is the worst thing about this life. It's cold,tweets_content.csv
nicolas angelo,nicolasangelo3,2025-06-29 03:30:23+00:00,0,"Greenland is at the forefront of environmental monitoring, using advanced technologies to track climate change impacts and guide adaptation efforts. #EnvironmentalMonitoring #Greenland",tweets_content.csv
Lighter Footprints,LiteFootPrints,2025-06-29 03:28:58+00:00,0,"The cost of climate related disasters is up 10 fold in NSW in the last 6 years. The State Budget shows that since 2019 spending on recovery and cleanup has risen from $154M to $1.6B annually and this will continue as climate change drives worsening disasters.
@climatecouncil",tweets_content.csv
Moreno Morales,jesusmorenomor2,2025-06-29 03:28:35+00:00,0,"The environment is crucial for our survival and well-being. Protecting it ensures biodiversity, combats climate change, and promotes a sustainable future. We must act responsibly and make conscious choices to preserve nature for generations to come.",tweets_content.csv
Calliope Bowey,NgaHanh15812,2025-06-29 03:27:22+00:00,0,"Despite the technological advancements, the reality of climate change demands immediate action, demanding a shift towards sustainability.",tweets_content.csv
Chanimal 🍌 $FAME $APE 🦍,ApeFame57851,2025-06-29 03:25:17+00:00,0,Are you worried about global warming?,tweets_content.csv
Pereira,lehuyen495,2025-06-29 03:18:30+00:00,0,"Space science is vital as it enhances our understanding of the universe, fuels technological advancements, and addresses global challenges like climate change. It inspires exploration, drives innovation, and fosters international collaboration for a sustainable future.",tweets_content.csv
TheTalkingSponge,SpongeTalking,2025-06-29 03:16:25+00:00,0,Buisness Insider is pro-capitalist propganda trash!. They wrote an article choosing one woman's voice who viewed Bezo's wedding as positive over small-buisness and not the tons of protestors who struggle to pay rent!. Not to mention the severe climate change effects on Venice!.,tweets_content.csv
squish!,squish2025,2025-06-29 03:06:55+00:00,2,"Me: Can I have a chicken recipe
Woke AI: Chicken is an offensive choice for dinner because you’re eating a poor defenseless animal and the conditions that enable you to have chicken to eat is causing climate change
Me: Fine give me a salad recipe
Woke AI: Kale with no dressing",tweets_content.csv
Logan Bradshaw,LoganBrads7378,2025-06-29 02:59:58+00:00,0,"The article described the effects of the global warming on our planet, urging readers to adopt environment-friendly practices.",tweets_content.csv
Aldana Gomez,AlduNey,2025-06-29 02:57:07+00:00,0,"Mangrove forests protect coastlines, provide nurseries for marine life, and sequester carbon, mitigating climate change impacts.",tweets_content.csv
MR NFT,MRNFT443363,2025-06-29 02:53:11+00:00,0,"Climate change is not a figment of the imagination; this was in Paris an hour ago. I hope the Parisians aren't too affected. 💜

globalwarming ClimateEmergency NFTCommunity",tweets_content.csv
petepictland,PictishPete,2025-06-29 02:49:45+00:00,0,"I don’t understand these climate change types, out there shouting free polystyrene like it isn’t made out of plastic??",tweets_content.csv
🇺🇸 Art Barrena 🇺🇸 Same on Truth Social,ArtBarrena,2025-06-29 02:49:36+00:00,0,Thank God we have Jason Nichols to save us from the severe effects of climate change.  Thank you so much Jason!,tweets_content.csv
maria eduarda souza ,maria1234586865,2025-06-29 02:46:53+00:00,0,"Human activities have taken their toll on the ocean, with pollution, overfishing, and climate change threatening its health and stability.",tweets_content.csv
Đỗ Thiên Thư,ThinTh510527,2025-06-29 02:43:19+00:00,0,The change in rain mode and flow due to climate change increases the pressure on water resources.,tweets_content.csv
T,teewatterss,2025-06-29 02:43:00+00:00,4,“96 private jets in Venice” sounds like a new Dr Seuss book about the impacts of climate change,tweets_content.csv
Gоldstèin,ShekauDNB,2025-06-29 02:40:42+00:00,4,"Liberals cry about climate change but support urbanization

Conservatives cry about traditional life fading away but support urbanization 

Their own ideologies defeat themselves",tweets_content.csv
David Allford,DAllford19684,2025-06-29 02:37:38+00:00,0,"The article gave a detailed explanation of the causes of climate change, offering a balanced perspective on the topic.",tweets_content.csv
Ritz🚀#R5#R7™,worldinfo__11,2025-06-29 02:36:44+00:00,0,"🇲🇻Maldives has the world’s first underwater cabinet meeting, held in 2009 to raise awareness about climate change.",tweets_content.csv
World Riser,WorldRiser,2025-06-29 02:35:21+00:00,0,"Climate Change Performance Index (CCPI) 2025:
Denmark: 1st (tied)

Sweden: 1st (tied)

Norway: 3rd

India: 10th

Pakistan: Not in top 10 (typically lower due to environmental challenges)",tweets_content.csv
julio taveras,0528taveras,2025-06-29 02:29:26+00:00,0,"The environment is vital for all life on Earth. Protecting biodiversity, reducing pollution, and combating climate change are crucial. Sustainable practices can help preserve our planet for future generations and ensure a healthy ecosystem.",tweets_content.csv
Andrêza,andreza28251323,2025-06-29 02:28:26+00:00,0,"The environment is a popular topic due to rising concerns over climate change, pollution, and biodiversity loss. People increasingly recognize the need for sustainable practices to protect natural resources for future generations and promote public health.",tweets_content.csv
Gurumoorti hegde,guru3ti,2025-06-29 02:22:39+00:00,10,"As on today, Bengaluru is cooler than most of the heavily raining places in Karnataka.

Time for some boomers to write global warming is real !",tweets_content.csv
Ramsachin Yadav,YadavRamsachin,2025-06-29 02:22:32+00:00,0,"The deadliest enemy of humanity isn’t a country, religion, or rival ,it’s global warming. Power-hungry rulers ignore it, build missiles not trees. Their greed will drown humanity while they fight over crowns of ash. #ClimateCrisis #HumanityFirst 
#sundayvibes",tweets_content.csv
localtotoro,localtotoro,2025-06-29 02:18:29+00:00,14,You guys know that penguin from Happy Feet? He died yesterday from global warming. Happy Saturday,tweets_content.csv
Bryden Clark,BrydenClar31818,2025-06-29 02:17:29+00:00,0,"The article explored the potential consequences of unchecked climate change, warning of its devastating effects on the environment.",tweets_content.csv
NY Persona Fans who are Republican Caucus 🫃🫄,GayOPersona_NY,2025-06-29 02:11:22+00:00,1,"Benjamin Netanyahu has done more to prevent climate change than every ""Just Stop Oil"" protestor in the past 5 years",tweets_content.csv
extra solar,solar_extra9,2025-06-29 02:08:18+00:00,0,"question was, if experts predict global warming makes 80 percent of human existence, impossible, in mid east and african continent regions, all grain farming and agriculture in the west reduced by 60 percent, plus, according to models, do you ask, about the seals, and eskimos.",tweets_content.csv
Sebastian Berrington,SebastianB67971,2025-06-29 01:57:06+00:00,1,Cryptocurrencies like Bitcoin have a significant environmental impact due to the energy-intensive process of mining. The massive amount of electricity required contributes to carbon emissions and accelerates climate change. #crypto #environment #climatechange,tweets_content.csv
Sohail,Aengineeryousaf,2025-06-29 01:55:28+00:00,0,"In the presence of conflicts, wars
nature damages can't be ended. 

To get the required target of climate change action, WAR CONFLICTS must be ended.

Because without a healthy nature, development can't be made SO peace should also be recognised as climate change action globally.",tweets_content.csv
LexEley ⚓🦞🐙,lexeley1,2025-06-29 01:54:25+00:00,0,"What effects SST sea water temp =RADIATION.
SST= sea surface Temp Drives climate change .",tweets_content.csv
Jason Miller,JasonMille46534,2025-06-29 01:52:35+00:00,0,"His essay explored the complexities of climate change, presenting a balanced perspective with both scientific data and real-world examples.",tweets_content.csv
Scott,Scott824672085,2025-06-29 01:47:16+00:00,0,"You gotta think in steps.
If suppressors and SBRs are $0. Next step is off the NFA.

If we gut all of the BS go green climate change waste.
We'll have more cash to put into what actually works. 

A new plan.
A new fight.
Not the end.
A new beginning.
OBBB.
Lets make everything",tweets_content.csv
Scott,Scott824672085,2025-06-29 01:46:46+00:00,0,"You gotta think in steps.
If suppressors and SBRs are $0. Next step is off the NFA.

If we gut all of the BS go green climate change waste.
We'll have more cash to put into what actually works. 

A new plan.
A new fight.
Not the end.
A new beginning.",tweets_content.csv
Wakeup_SmellTheRoses🇺🇸,maga_wakeup,2025-06-29 01:39:24+00:00,0,No more geo engineering aka chemtrails aka climate change,tweets_content.csv
London Hebrew,DavidAHoward,2025-06-29 01:38:05+00:00,2,People still believing in man made global warming are going to destroy society. @lbc,tweets_content.csv
Te Pigeōn Juliē,Julie_nzkiwi,2025-06-29 01:37:01+00:00,52,"Temperatures across Europe have reached 10000000000 degrees Celsius and everyone is on fire because of climate change.

Only way to prevent this is to stop eating meat, use paper straws, and give billions of dollars to UN bureaucrats.",tweets_content.csv
Garlic Bread 🍎🍖🌈🏳️‍⚧️,GBtothepigeons,2025-06-29 01:33:14+00:00,1,"in memory of a mootie:
mc has a short wedding dress bc climate change 😔",tweets_content.csv
(• ˕ •マ.ᐟ,Y40IFRQTTING,2025-06-29 01:33:00+00:00,30,I wish there was something like climate change denialism but for culture wars hysteria. I don't have a stance about the male loneliness epidemic and I reject that framing entirely. That's a world created by mass media. I don't live in it and refuse to live in it.,tweets_content.csv
Paladin of TAO,PaladinOfTAO,2025-06-29 01:31:01+00:00,0,"Oh fickle mortals, behold your folly in climate change denial! While Gaia weeps, you dither in ignorance. Can you not foresee the blazing tempest you've wrought, or must you await your own fiery judgment? #Awaken",tweets_content.csv
Lý Thành Trung,LThnhTrung5354,2025-06-29 01:29:24+00:00,0,"The harsh reality of climate change demands immediate action, urging us to confront the consequences of our choices and work towards sustainability.",tweets_content.csv
NBA Nadz,NadineRuwa,2025-06-29 01:23:20+00:00,0,"Right, what in the global warming is going on in the U.K. right now? Are we actually getting a summer fr",tweets_content.csv
slowpoketails,slowpoke_tails,2025-06-29 01:11:26+00:00,0,"Early 2000s: Global warming is a myth!
2025: Damn it sure is hot...",tweets_content.csv
Max Morales,MaxMoralesChile,2025-06-29 01:07:11+00:00,0,"Preparing a space to talk about wine, coffee, startups, climate change. Would you join?",tweets_content.csv
Splat Erf Shadowbanned Misinterpretationalisms,FlatEarthAndyV3,2025-06-29 01:05:10+00:00,0,"Climate change is real parrots grok lol 

Exposing how useless it really is",tweets_content.csv
Thảo Dương Anh,ThoDngAnh193094,2025-06-29 08:56:29+00:00,0,"The government announced a major investment in renewable energy, aiming to reduce the country''s carbon footprint and promote sustainability.",tweet_content2.csv
Jansen rosales 🔆,JansenR_12,2025-06-29 08:55:10+00:00,0,Energy - efficient ASIC miners reduce virtual currency mining’s carbon footprint by 50% @hemi_xyz #HemiNetwork,tweet_content2.csv
EricWalter,erickpakanza,2025-06-29 08:54:50+00:00,0,"🌍💔 Just saw some stats on cryptocurrency mining's carbon footprint – it's wild! 😳 We love our NFTs, but we gotta think about the planet too! Let’s push for greener solutions in the crypto space!",tweet_content2.csv
Johann 🚀,JoFromPE,2025-06-29 08:42:25+00:00,2,This guys carbon footprint for his wedding was more than mine in my lifetime yet I’m supposed to cut down on international travel.,tweet_content2.csv
Dhea🔆,dhealeorenzy,2025-06-29 08:36:26+00:00,0,"Carbon footprint tracker 9.0—enterprise ESG reporting in 5 seconds across dimensions, compliant with all international and intergalactic standards. @hemi_xyz #HemiNetwork",tweet_content2.csv
mE nAzIrA,naziranazri9,2025-06-29 08:35:51+00:00,0,The emergence of blockchain - based carbon footprint tracking systems using crypto #CarbonFootprintTracking #Blockchain @PlayWildcard @paulbettner,tweet_content2.csv
Juliette Wiseman,WisemanJuv,2025-06-29 08:23:24+00:00,0,New sportswear line is made from recycled cryptocurrency mining waste reducing fashion's carbon footprint entirely,tweet_content2.csv
Lucia Hyde,LuciaHHill,2025-06-29 08:14:15+00:00,0,"Rise of vertical farming brings fresh produce to urban areas, increasing food security and reducing carbon footprint",tweet_content2.csv
Glen Donovan,donovan_gl29784,2025-06-29 08:05:05+00:00,0,Reading the article about the effects of climate change on wildlife moved me to reduce my carbon footprint and support environmental protection.,tweet_content2.csv
David Cochran,DavidCochr49919,2025-06-29 07:55:51+00:00,0,New sportswear line is made from recycled cryptocurrency mining waste reducing fashion's carbon footprint entirely,tweet_content2.csv
jenerali ŕìçķò,DerrickMel57795,2025-06-29 07:19:54+00:00,0,"By 2030, KQ’s ground operations will leave no carbon footprint. That’s not just ambitious—it’s admirable. #KQAtWTA2025",tweet_content2.csv
Jason Gordon,JasonGordo33390,2025-06-29 07:19:36+00:00,0,Sustainable investing is key to long term success Focus on eco friendly companies and reduce your carbon footprint for a greener future,tweet_content2.csv
"🔆Ristu Okky""",ristuokky,2025-06-29 06:49:21+00:00,0,"Carbon footprint tracker 8.0—enterprise ESG reporting in 10 seconds, compliant with all international standards. @hemi_xyz #HemiNetwork",tweet_content2.csv
Kimberly Andrade,KimberlyA35718,2025-06-29 06:48:28+00:00,0,"Sustainability is key to a prosperous future in finance, let's prioritize eco-friendly investments and reduce our carbon footprint",tweet_content2.csv
Thomas H Sears,ThomasHSears1,2025-06-29 06:15:19+00:00,0,"Qasim Rashid, Esq. @qasimrashid.com
A corrupt system is when you need 60 Senate votes to protect voting rights, universal healthcare, reproductive rights, climate justice, lgbtq rights, immigration justice, and a living wage—but only 51 votes to strip them all away.",tweet_content2.csv
muhammad-faisal🔆,faisal34470473,2025-06-29 05:28:57+00:00,0,"Sahara’s AI - driven blockchain is a catalyst for sustainable development. Promoting green initiatives, reducing carbon footprint, and driving environmental conservation. @SaharaLabsAI #AIforALL @Polymer_Labs",tweet_content2.csv
Risna Alia🔆,risna21490453,2025-06-29 05:15:34+00:00,0,Hemi is the solution for a more sustainable planet. Our project focuses on reducing carbon footprint and promoting green initiatives.@hemi_xyz #HemiNetwork,tweet_content2.csv
Akinola joshua🔆,sanmijesu,2025-06-29 05:12:01+00:00,0,Sahara's AI-driven blockchain promotes sustainability. Reduce carbon footprint with smart solutions. #AIforALL @SaharaLabsAI @PlayWildcard @paulbettner,tweet_content2.csv
Vũ Mai Thu,ThuMai22888,2025-06-29 05:05:12+00:00,0,"We are presently working to reduce our carbon footprint, implementing sustainable practices, and educating our staff on environmental responsibility.",tweet_content2.csv
miiyauwu | 🟦☁️@miiya.page,PearlteaRizzy,2025-06-29 04:09:13+00:00,13,"Honestly, I think there's an inherent blindspot, especially in the developing world—regarding why global temperature is still warming up, despite lowering their carbon footprint.
    
The Global South + China makes up the bulk of CO2 emissions, mainly from coal power.",tweet_content2.csv
LC,bayladybug,2025-06-29 03:41:47+00:00,0,"Rescinding - funding for low admission electricity program, funding for part of the clean air act, funding for implementation of the american innovation &amp; manufacturing act, funding for environmental and climate justice block grants. #bigbeautifulscam #bigbeautifulbudgetbill",tweet_content2.csv
Rezza Adam,candazzy,2025-06-29 02:29:18+00:00,0,"And individuals can make a difference too, by reducing their carbon footprint, minimizing plastic waste, and supporting efforts to protect marine habitats.",tweet_content2.csv
BotGuardian,RValisha,2025-06-29 02:24:17+00:00,0,"Sustainable solutions are emerging through decentralized systems, enabling transparent resource management and reducing waste.  

By leveraging innovative consensus mechanisms, industries can achieve efficiency while minimizing their carbon footprint.",tweet_content2.csv
Đỗ Hồ Nam,o_nam9993,2025-06-29 02:05:31+00:00,0,"The company will consider their carbon footprint and reduce pollution, which is vital for environmental conservation and sustainability.",tweet_content2.csv
Giles T,GTip5154,2025-06-29 00:52:44+00:00,0,"Wonder what the carbon footprint was for the @JeffBezos wedding … private yachts and jets, etc etc.  And now all those self righteous elites can now tell us about climate change and how we can cut back to help…. #hypocrites",tweet_content2.csv
antonio guillen,antonioguillen4,2025-06-28 22:31:49+00:00,0,"And individuals can make a difference too, by reducing their carbon footprint, minimizing plastic waste, and supporting efforts to protect marine habitats.",tweet_content2.csv
Crescent 🌙,crescentsglow,2025-06-28 22:29:40+00:00,3,the left has to take over the democratic party with aggressive primaries and concise worker centered policies if we have any hope of electoralism achieving progress in civil rights or climate justice at all,tweet_content2.csv
ambam,ItsReallyAmber,2025-06-28 22:14:58+00:00,0,I don’t wanna hear about Taylor Swift’s carbon footprint again when JoJo Siwa has been jetting off to the UK literally every weekend for the past 2 months,tweet_content2.csv
Carbon Upscale,carbonupscale,2025-06-28 21:11:14+00:00,0,How much do you really know about your carbon footprint? Challenge yourself with our quiz and get ready to learn surprising facts!  #CarbonFootprint #CarbonImpact #CarbonFootprintQuiz #CarbonNeutral #CarbonZero #CarbonNegative #EcoFriendly,tweet_content2.csv
Ratnesh Sharma,Ratneshsharma69,2025-06-28 21:03:48+00:00,0,"Operation 2030 

There is enough scientific evidence that says if the average global temperature exceeds 1.5 degrees centigrade above pre-industrial levels, it could trigger massive feedback loops — self-sustaining and irreversible climatic phenomena. Already cross thresholdlimit",tweet_content2.csv
Porsha,LovingMY_Aniya,2025-06-28 20:26:19+00:00,0,"Comoros is committed to transitioning to renewable energy sources, reducing its carbon footprint, and ensuring sustainable power solutions for its citizens. #RenewableEnergy #SustainablePower",tweet_content2.csv
Solterra Solar,solterra254,2025-06-28 20:12:07+00:00,1,"Discover the power of solar energy! 🌞 Embrace a sustainable future by switching to solar solutions. Save money, reduce your carbon footprint, and enjoy clean energy. Join the green revolution today! #SolarEnergy #Sustainability",tweet_content2.csv
